EndNodes_1,EndNodes_2,Weight,index,ncoord,L,diam,kN,isshunt,belongroot,cycles,subnetwork
1,2,1,1,6,0.00906449510224599,0.001,9.02557812259867e-07,0,none,0,none
1,44,1,2,69,0.0789199457378535,0.001,1.03664932764891e-07,0,none,0,none
1,44,1,3,59,0.0680915186131073,0.001,1.20150512653548e-07,0,none,0,none
2,4,1,4,24,0.0293137084989848,0.00182842707633972,3.11930943780473e-06,0,none,0,none
2,45,1,5,87,0.107689498359554,0.001,7.59705541705462e-08,0,none,0,none
3,4,1,6,4,0.0064142135623731,0.00182842707633972,1.42556100898066e-05,0,none,0,none
3,22,NaN,7,34,0.0438634849754693,0.00270405945490201,9.97195844415669e-06,0,none,NaN,none
3,46,1,8,53,0.0632630914883611,0.001,1.29320756799066e-07,0,none,0,none
4,47,1,9,27,0.0319493829893762,0.001,2.56068509099028e-07,0,none,0,none
5,20,1,10,18,0.0227279220613578,0.001,3.59963873804073e-07,0,none,0,none
5,48,1,11,41,0.0467778101141225,0.001,1.74895550876877e-07,0,none,0,none
5,48,NaN,12,55,0.0702205088175993,0.001,1.16507712724989e-07,0,none,NaN,none
6,8,1,13,17,0.0233782036012307,0.001,3.49951219874427e-07,0,none,0,none
6,49,1,14,27,0.0311209558646301,0.001,2.62884948145877e-07,0,none,0,none
6,49,1,15,29,0.0347778101141225,0.001,2.35242841394467e-07,0,none,0,none
7,11,1,16,5,0.00765685424949235,0.001,1.06848460244177e-06,0,none,0,none
7,50,1,17,65,0.0765767999873459,0.001,1.06836938473211e-07,0,none,0,none
7,50,NaN,18,93,0.114568542494924,0.001,7.1409050779239e-08,0,none,NaN,none
8,12,1,19,8,0.0110710678118655,0.001,7.3897396418755e-07,0,none,0,none
8,51,1,20,31,0.0375930918196297,0.001,2.17625911376927e-07,0,none,0,none
9,13,1,21,6,0.00924264068711929,0.001,8.85161627036409e-07,0,none,0,none
9,52,1,22,47,0.0552630914883611,0.001,1.48041498374127e-07,0,none,0,none
9,52,1,23,37,0.0437989898732233,0.001,1.86790400701114e-07,0,none,0,none
10,12,1,24,10,0.0126568542494924,0.001,6.46387380896919e-07,0,none,0,none
10,18,1,25,9,0.0124852813742385,0.00182842707633972,7.32370579702027e-06,0,none,0,none
10,53,1,26,29,0.032292528739884,0.001,2.53347482776068e-07,0,none,0,none
11,21,1,27,10,0.0130710678118654,0.00889897966384888,0.00392526008261943,0,none,0,none
11,54,1,28,27,0.030292528739884,0.001,2.70074213314248e-07,0,none,0,none
12,55,1,29,27,0.0319493829893763,0.001,2.56068509099028e-07,0,none,0,none
13,17,1,30,16,0.0208994949366116,0.001,3.91455912859961e-07,0,none,0,none
13,56,1,31,29,0.0357989898732233,0.001,2.28532450152812e-07,0,none,0,none
14,15,1,32,9,0.0124852813742385,0.00182842707633972,7.32370579702027e-06,0,none,0,none
14,17,1,33,1,0.00282842712474619,0.00182842707633972,3.23284014560372e-05,0,none,0,none
14,57,1,34,43,0.0506274169979695,0.001,1.6159684522423e-07,0,none,0,none
15,19,NaN,35,11,0.0175497764764846,0.00277732531443876,2.7736654029878e-05,0,none,NaN,none
15,58,1,36,37,0.0421421356237309,0.001,1.94134225701567e-07,0,none,0,none
16,18,1,37,7,0.0117213493517384,0.00182842707633972,7.80102399766618e-06,0,none,0,none
16,24,1,38,25,0.0309639900388576,0.00465685415267944,0.000124260264987956,0,none,0,none
16,59,1,39,35,0.0409705627484771,0.001,1.99685586916365e-07,0,none,0,none
17,60,1,40,45,0.0540915186131073,0.001,1.51247941978485e-07,0,none,0,none
18,61,1,41,51,0.0620915186131073,0.001,1.31760843533249e-07,0,none,0,none
19,23,1,42,7,0.0104852813742386,0.00465685415267944,0.000366951869958022,0,none,0,none
19,62,1,43,29,0.0356062372388687,0.001,2.29769599461989e-07,0,none,0,none
